Time,L_Reach,L_Grasp,L_Manipulation,L_Transport,L_Place,R_Reach,R_Grasp,R_Manipulation,R_Transport,R_Place
0 sec,0,0,0,0,0,0,0,0,0,0
0.0071667 sec,0,0,0,0,0,0,0,0,0,0
0.02385 sec,0,0,0,0,0,0,0,0,0,0
0.040533 sec,0,0,0,0,0,0,0,0,0,0
0.057217 sec,0,0,0,0,0,0,0,0,0,0
0.0739 sec,0,0,0,0,0,0,0,0,0,0
0.090583 sec,0,0,0,0,0,0,0,0,0,0
0.10727 sec,0,0,0,0,0,0,0,0,0,0
0.12395 sec,0,0,0,0,0,0,0,0,0,0
0.14063 sec,0,0,0,0,0,0,0,0,0,0
0.15732 sec,0,0,0,0,0,0,0,0,0,0
0.174 sec,0,0,0,0,0,0,0,0,0,0
0.19068 sec,0,0,0,0,0,0,0,0,0,0
0.20737 sec,0,0,0,0,0,0,0,0,0,0
0.22405 sec,0,0,0,0,0,0,0,0,0,0
0.24073 sec,0,0,0,0,0,0,0,0,0,0
0.25742 sec,0,0,0,0,0,0,0,0,0,0
0.2741 sec,0,0,0,0,0,0,0,0,0,0
0.29078 sec,0,0,0,0,0,0,0,0,0,0
0.30747 sec,0,0,0,0,0,0,0,0,0,0
0.32415 sec,0,0,0,0,0,0,0,0,0,0
0.34083 sec,0,0,0,0,0,0,0,0,0,0
0.35752 sec,0,0,0,0,0,0,0,0,0,0
0.3742 sec,0,0,0,0,0,0,0,0,0,0
0.39088 sec,0,0,0,0,0,0,0,0,0,0
0.40757 sec,0,0,0,0,0,0,0,0,0,0
0.42425 sec,0,0,0,0,0,0,0,0,0,0
0.44093 sec,0,0,0,0,0,0,0,0,0,0
0.45762 sec,0,0,0,0,0,0,0,0,0,0
0.4743 sec,0,0,0,0,0,0,0,0,0,0
0.49098 sec,0,0,0,0,0,0,0,0,0,0
0.50767 sec,0,0,0,0,0,0,0,0,0,0
0.52435 sec,0,0,0,0,0,0,0,0,0,0
0.54103 sec,0,0,0,0,0,0,0,0,0,0
0.55772 sec,0,0,0,0,0,0,0,0,0,0
0.5744 sec,0,0,0,0,0,0,0,0,0,0
0.59108 sec,0,0,0,0,0,0,0,0,0,0
0.60777 sec,0,0,0,0,0,0,0,0,0,0
0.62445 sec,0,0,0,0,0,0,0,0,0,0
0.64113 sec,0,0,0,0,0,0,0,0,0,0
0.65782 sec,0,0,0,0,0,0,0,0,0,0
0.6745 sec,0,0,0,0,0,0,0,0,0,0
0.69118 sec,0,0,0,0,0,0,0,0,0,0
0.70787 sec,0,0,0,0,0,0,0,0,0,0
0.72455 sec,0,0,0,0,0,0,0,0,0,0
0.74123 sec,0,0,0,0,0,0,0,0,0,0
0.75792 sec,0,0,0,0,0,0,0,0,0,0
0.7746 sec,0,0,0,0,0,0,0,0,0,0
0.79128 sec,0,0,0,0,0,0,0,0,0,0
0.80797 sec,0,0,0,0,0,0,0,0,0,0
0.82465 sec,0,0,0,0,0,0,0,0,0,0
0.84133 sec,0,0,0,0,0,0,0,0,0,0
0.85802 sec,0,0,0,0,0,0,0,0,0,0
0.8747 sec,0,0,0,0,0,0,0,0,0,0
0.89138 sec,0,0,0,0,0,0,0,0,0,0
0.90807 sec,0,0,0,0,0,0,0,0,0,0
0.92475 sec,0,0,0,0,0,0,0,0,0,0
0.94143 sec,0,0,0,0,0,0,0,0,0,0
0.95812 sec,0,0,0,0,0,0,0,0,0,0
0.9748 sec,0,0,0,0,0,0,0,0,0,0
0.99148 sec,0,0,0,0,0,0,0,0,0,0
1.0082 sec,0,0,0,0,0,0,0,0,0,0
1.0248 sec,0,0,0,0,0,0,0,0,0,0
1.0415 sec,0,0,0,0,0,0,0,0,0,0
1.0582 sec,0,0,0,0,0,0,0,0,0,0
1.0749 sec,0,0,0,0,0,0,0,0,0,0
1.0916 sec,0,0,0,0,0,0,0,0,0,0
1.1083 sec,0,0,0,0,0,0,0,0,0,0
1.1249 sec,0,0,0,0,0,0,0,0,0,0
1.1416 sec,0,0,0,0,0,0,0,0,0,0
1.1583 sec,0,0,0,0,0,0,0,0,0,0
1.175 sec,0,0,0,0,0,0,0,0,0,0
1.1917 sec,0,0,0,0,0,0,0,0,0,0
1.2084 sec,0,0,0,0,0,0,0,0,0,0
1.225 sec,0,0,0,0,0,0,0,0,0,0
1.2417 sec,0,0,0,0,0,0,0,0,0,0
1.2584 sec,0,0,0,0,0,0,0,0,0,0
1.2751 sec,0,0,0,0,0,0,0,0,0,0
1.2918 sec,0,0,0,0,0,0,0,0,0,0
1.3085 sec,0,0,0,0,0,0,0,0,0,0
1.3251 sec,0,0,0,0,0,0,0,0,0,0
1.3418 sec,0,0,0,0,0,0,0,0,0,0
1.3585 sec,0,0,0,0,0,0,0,0,0,0
1.3752 sec,0,0,0,0,0,0,0,0,0,0
1.3919 sec,0,0,0,0,0,0,0,0,0,0
1.4086 sec,0,0,0,0,0,1,0,0,0,0
1.4252 sec,0,0,0,0,0,1,0,0,0,0
1.4419 sec,0,0,0,0,0,1,0,0,0,0
1.4586 sec,0,0,0,0,0,1,0,0,0,0
1.4753 sec,0,0,0,0,0,1,0,0,0,0
1.492 sec,0,0,0,0,0,1,0,0,0,0
1.5087 sec,0,0,0,0,0,1,0,0,0,0
1.5253 sec,0,0,0,0,0,1,0,0,0,0
1.542 sec,0,0,0,0,0,1,0,0,0,0
1.5587 sec,0,0,0,0,0,1,0,0,0,0
1.5754 sec,0,0,0,0,0,1,0,0,0,0
1.5921 sec,0,0,0,0,0,1,0,0,0,0
1.6088 sec,0,0,0,0,0,1,0,0,0,0
1.6254 sec,0,0,0,0,0,1,0,0,0,0
1.6421 sec,0,0,0,0,0,1,0,0,0,0
1.6588 sec,0,0,0,0,0,1,0,0,0,0
1.6755 sec,0,0,0,0,0,1,0,0,0,0
1.6922 sec,0,0,0,0,0,1,0,0,0,0
1.7089 sec,0,0,0,0,0,1,0,0,0,0
1.7255 sec,0,0,0,0,0,1,0,0,0,0
1.7422 sec,0,0,0,0,0,1,0,0,0,0
1.7589 sec,0,0,0,0,0,1,0,0,0,0
1.7756 sec,0,0,0,0,0,1,0,0,0,0
1.7923 sec,0,0,0,0,0,1,0,0,0,0
1.809 sec,0,0,0,0,0,1,0,0,0,0
1.8256 sec,0,0,0,0,0,1,0,0,0,0
1.8423 sec,0,0,0,0,0,1,0,0,0,0
1.859 sec,0,0,0,0,0,1,0,0,0,0
1.8757 sec,0,0,0,0,0,1,0,0,0,0
1.8924 sec,0,0,0,0,0,1,0,0,0,0
1.9091 sec,0,0,0,0,0,1,0,0,0,0
1.9257 sec,0,0,0,0,0,1,0,0,0,0
1.9424 sec,0,0,0,0,0,1,0,0,0,0
1.9591 sec,0,0,0,0,0,1,0,0,0,0
1.9758 sec,0,0,0,0,0,1,0,0,0,0
1.9925 sec,0,0,0,0,0,1,0,0,0,0
2.0092 sec,0,0,0,0,0,1,0,0,0,0
2.0258 sec,0,0,0,0,0,0,1,0,0,0
2.0425 sec,0,0,0,0,0,0,1,0,0,0
2.0592 sec,0,0,0,0,0,0,1,0,0,0
2.0759 sec,0,0,0,0,0,0,1,0,0,0
2.0926 sec,0,0,0,0,0,0,1,0,0,0
2.1093 sec,0,0,0,0,0,0,1,0,0,0
2.1259 sec,0,0,0,0,0,0,1,0,0,0
2.1426 sec,0,0,0,0,0,0,1,0,0,0
2.1593 sec,0,0,0,0,0,0,1,0,0,0
2.176 sec,0,0,0,0,0,0,1,0,0,0
2.1927 sec,0,0,0,0,0,0,1,0,0,0
2.2094 sec,0,0,0,0,0,0,1,0,0,0
2.226 sec,0,0,0,0,0,0,1,0,0,0
2.2427 sec,0,0,0,0,0,0,1,0,0,0
2.2594 sec,0,0,0,0,0,0,1,0,0,0
2.2761 sec,0,0,0,0,0,0,1,0,0,0
2.2928 sec,0,0,0,0,0,0,1,0,0,0
2.3095 sec,0,0,0,0,0,0,1,0,0,0
2.3261 sec,0,0,0,0,0,0,1,0,0,0
2.3428 sec,0,0,0,0,0,0,1,0,0,0
2.3595 sec,0,0,0,0,0,0,1,0,0,0
2.3762 sec,0,0,0,0,0,0,1,0,0,0
2.3929 sec,0,0,0,0,0,0,1,0,0,0
2.4096 sec,0,0,0,0,0,0,1,0,0,0
2.4262 sec,0,0,0,0,0,0,1,0,0,0
2.4429 sec,0,0,0,0,0,0,1,0,0,0
2.4596 sec,0,0,0,0,0,0,1,0,0,0
2.4763 sec,0,0,0,0,0,0,1,0,0,0
2.493 sec,0,0,0,0,0,0,1,0,0,0
2.5097 sec,0,0,0,0,0,0,0,1,0,0
2.5263 sec,0,0,0,0,0,0,0,1,0,0
2.543 sec,0,0,0,0,0,0,0,1,0,0
2.5597 sec,0,0,0,0,0,0,0,1,0,0
2.5764 sec,0,0,0,0,0,0,0,1,0,0
2.5931 sec,0,0,0,0,0,0,0,1,0,0
2.6098 sec,0,0,0,0,0,0,0,1,0,0
2.6264 sec,0,0,0,0,0,0,0,1,0,0
2.6431 sec,0,0,0,0,0,0,0,1,0,0
2.6598 sec,0,0,0,0,0,0,0,1,0,0
2.6765 sec,0,0,0,0,0,0,0,1,0,0
